,company,inches,ram,weight,price,new_screenreso,new_cpu,new_clockspd,new_gpu,new_OS,isTouchScrn,Memory,HDD,SSD
0,Apple,13.3,8,1.37,71378.6832,2560x1600,Intel Core i5,2.3,Intel,MAC OS,0,128GB SSD,0,128
1,Apple,13.3,8,1.34,47895.5232,1440x900,Intel Core i5,1.8,Intel,MAC OS,0,128GB Flash Storage,0,0
2,HP,15.6,8,1.86,30636.0,1920x1080,Intel Core i5,2.5,Intel,Other,0,256GB SSD,0,256
3,Apple,15.4,16,1.83,135195.33599999998,2880x1800,Intel Core i7,2.7,AMD,MAC OS,0,512GB SSD,0,512
4,Apple,13.3,8,1.37,96095.808,2560x1600,Intel Core i5,3.1,Intel,MAC OS,0,256GB SSD,0,256
5,Acer,15.6,4,2.1,21312.0,1366x768,AMD Processor,3.0,AMD,Windows,0,500GB HDD,500,0
6,Apple,15.4,16,2.04,114017.6016,2880x1800,Intel Core i7,2.2,Intel,MAC OS,0,256GB Flash Storage,0,0
7,Apple,13.3,8,1.34,61735.53599999999,1440x900,Intel Core i5,1.8,Intel,MAC OS,0,256GB Flash Storage,0,0
8,Asus,14.0,16,1.3,79653.59999999999,1920x1080,Intel Core i7,1.8,Nividia,Windows,0,512GB SSD,0,512
9,Acer,14.0,8,1.6,41025.6,1920x1080,Intel Core i5,1.6,Intel,Windows,0,256GB SSD,0,256
10,HP,15.6,4,1.86,20986.992000000002,1366x768,Intel Core i5,2.5,Intel,Other,0,500GB HDD,500,0
11,HP,15.6,4,1.86,18381.0672,1920x1080,Intel Core i3,2.0,Intel,Other,0,500GB HDD,500,0
12,Apple,15.4,16,1.83,130001.6016,2880x1800,Intel Core i7,2.8,AMD,MAC OS,0,256GB SSD,0,256
13,Dell,15.6,4,2.2,26581.392,1920x1080,Intel Core i3,2.0,AMD,Windows,0,256GB SSD,0,256
14,Apple,12.0,8,0.92,67260.672,2304x1440,Intel other Processor,1.2,Intel,MAC OS,0,256GB SSD,0,256
15,Apple,13.3,8,1.37,80908.344,2560x1600,Intel Core i5,2.3,Intel,MAC OS,0,256GB SSD,0,256
16,Dell,15.6,8,2.2,39693.6,1920x1080,Intel Core i7,2.7,AMD,Windows,0,256GB SSD,0,256
17,Apple,15.4,16,1.83,152274.24,2880x1800,Intel Core i7,2.9,AMD,MAC OS,0,512GB SSD,0,512
18,Lenovo,15.6,8,2.2,26586.72,1920x1080,Intel Core i3,2.4,Nividia,Other,0,1000 HDD,1000,0
19,Dell,13.3,8,1.22,52161.12,1920x1080,Intel Core i5,1.6,Intel,Windows,1,128GB SSD,0,128
20,Asus,11.6,2,0.98,10224.431999999999,1366x768,Intel other Processor,1.44,Intel,Windows,0,32GB Flash Storage,0,0
21,Lenovo,15.6,8,2.5,53226.72,1920x1080,Intel Core i5,2.5,Nividia,Windows,0,128GB SSD +  1000 HDD,1000,128
22,HP,15.6,4,1.86,13746.24,1366x768,AMD Processor,1.5,AMD,Other,0,500GB HDD,500,0
23,Dell,13.3,8,1.62,43636.32,1920x1080,Intel Core i5,1.6,Intel,Windows,1,256GB SSD,0,256
24,HP,15.6,8,1.91,35111.52,1920x1080,Intel Core i7,1.8,Intel,Windows,0,256GB SSD,0,256
25,Dell,15.6,4,2.3,22305.1392,1366x768,Intel Core i3,2.0,Intel,Windows,0,1000 HDD,1000,0
26,Apple,13.3,8,1.35,58554.72,1440x900,Intel Core i5,1.6,Intel,MAC OS,0,128GB Flash Storage,0,0
27,Dell,15.6,8,2.2,42624.0,1920x1080,Intel Core i5,1.6,AMD,Windows,0,256GB SSD,0,256
28,Dell,15.6,8,1.88,69157.44,1920x1080,Intel Core i7,1.9,Intel,Windows,0,256GB SSD +  256GB SSD,0,512
29,HP,17.3,8,2.5,47738.88,1920x1080,Intel Core i5,1.6,Nividia,Windows,0,1000 HDD,1000,0
30,Chuwi,15.6,4,1.89,13053.0672,1920x1080,Intel other Processor,1.44,Intel,Windows,0,64GB Flash Storage,0,0
31,Asus,14.0,2,1.65,10602.72,1366x768,AMD Processor,1.5,AMD,Windows,0,32GB Flash Storage,0,0
32,HP,17.3,4,2.71,23389.92,1920x1080,AMD Processor,2.5,AMD,Windows,0,500GB HDD,500,0
33,Dell,13.3,16,1.2,99580.32,3200x1800,Intel Core i7,1.8,Intel,Windows,1,512GB SSD,0,512
34,Apple,13.3,8,1.35,53173.44,1440x900,Intel Core i5,1.6,Intel,MAC OS,0,256GB Flash Storage,0,0
35,Lenovo,14.0,4,1.44,13266.72,1366x768,Intel other Processor,1.1,Intel,Windows,0,64GB Flash Storage,0,0
36,Acer,15.6,4,2.1,19553.76,1366x768,Intel Core i3,2.7,Intel,Linux,0,1000 HDD,1000,0
37,Dell,17.3,8,2.8,52161.12,1920x1080,Intel Core i5,1.6,AMD,Windows,0,128GB SSD +  1000 HDD,1000,128
38,HP,15.6,4,1.86,26037.4032,1366x768,Intel Core i5,2.5,Intel,Windows,0,1000 HDD,1000,0
39,HP,15.6,8,2.1,46833.12,1920x1080,Intel Core i5,1.6,Nividia,Windows,0,256GB SSD,0,256
40,Asus,15.6,4,2.0,20725.92,1920x1080,Intel Core i3,2.0,Intel,Linux,0,1000 HDD,1000,0
